customer_id,main_account_loan_no,main_account_active_loan_no,main_account_overdue_no,main_account_outstanding_loan,main_account_sanction_loan,main_account_disbursed_loan,sub_account_loan_no,sub_account_active_loan_no,sub_account_overdue_no,sub_account_outstanding_loan,sub_account_sanction_loan,sub_account_disbursed_loan,disbursed_amount,asset_cost,branch_id,supplier_id,manufacturer_id,area_id,employee_code_id,mobileno_flag,idcard_flag,Driving_flag,passport_flag,credit_score,main_account_monthly_payment,sub_account_monthly_payment,last_six_month_new_loan_no,last_six_month_defaulted_no,average_age,credit_history,enquirie_no,loan_to_asset_ratio,total_account_loan_no,sub_account_inactive_loan_no,total_inactive_loan_no,main_account_inactive_loan_no,total_overdue_no,total_outstanding_loan,total_sanction_loan,total_disbursed_loan,total_monthly_payment,outstanding_disburse_ratio,main_account_tenure,sub_account_tenure,disburse_to_sactioned_ratio,active_to_inactive_act_ratio,year_of_birth,disbursed_date,Credit_level,employment_type,age,label
179204,0,0,0,0,0,0,0,0,0,0,0,0,88120,106000,42,258,2,2,2305,1,1,0,0,0,0,0,0,0,0,0,0,0.831320755,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,1997,2019,-1,1,22,0
15881,0,0,0,0,0,0,0,0,0,0,0,0,51723,73055,55,612,2,0,744,1,1,0,0,0,0,0,0,0,0,0,0,0.708000821,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,1986,2019,-1,0,33,0
108518,6,3,0,54489,96817,96817,0,0,0,0,0,0,60947,69542,1,1667,2,1,538,1,1,0,0,708,2130,0,1,0,6,9,0,0.876405625,6,3,0,3,0,54489,96817,96817,2130,1.78,45,0,1.0,1.75,1985,2019,10,0,34,0
179094,1,0,0,0,0,0,0,0,0,0,0,0,39594,78000,42,478,2,2,1029,1,1,0,0,16,4142,0,0,0,6,6,0,0.507615385,1,1,0,1,0,0,0,0,4142,1.0,0,0,1.0,1.0,1986,2019,-1,1,33,0
18867,1,1,0,1279,8989,8989,0,0,0,0,0,0,47349,66500,42,380,2,2,432,1,1,1,0,763,1285,0,0,0,6,6,0,0.712015038,1,0,0,0,0,1279,8989,8989,1285,7.02,6,0,1.0,2.0,1992,2019,12,0,27,0
101217,3,3,1,683957,1105000,1105000,0,0,0,0,0,0,62213,80800,21,2506,1,0,357,1,1,0,0,565,0,0,0,0,84,16,1,0.7699628709999999,3,0,0,0,1,683957,1105000,1105000,0,1.62,1105000,0,1.0,4.0,1969,2019,4,0,50,0
194760,6,1,0,18636,24000,24000,0,0,0,0,0,0,43133,69399,17,799,2,7,1660,1,1,0,0,737,390000,0,1,0,1,24,0,0.621521924,6,5,0,5,0,18636,24000,24000,390000,1.29,0,0,1.0,1.17,1967,2019,11,0,52,0
129155,1,1,0,45933,100000,100000,0,0,0,0,0,0,36580,75450,0,97,1,0,598,1,1,0,0,706,2353,0,0,0,12,12,0,0.484824387,1,0,0,0,0,45933,100000,100000,2353,2.18,42,0,1.0,2.0,1985,2019,10,1,34,0
30936,8,4,0,189465,223023,223023,0,0,0,0,0,0,72717,106061,12,336,5,6,395,1,1,0,0,599,77847,0,0,0,88,36,0,0.685614882,8,4,0,4,0,189465,223023,223023,77847,1.18,2,0,1.0,1.8,1966,2019,5,0,53,1
66182,10,3,0,1797387,1865048,1865048,0,0,0,0,0,0,53737,77753,59,1800,2,2,2460,1,1,0,0,705,165000,0,1,0,15,38,0,0.691124458,10,7,0,7,0,1797387,1865048,1865048,165000,1.04,11,0,1.0,1.38,1976,2019,9,0,43,0
195908,0,0,0,0,0,0,0,0,0,0,0,0,56259,73585,28,72,2,9,169,1,1,0,0,0,0,0,0,0,0,0,0,0.764544404,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,1999,2019,-1,2,20,1
153750,2,0,0,0,0,0,1,1,0,378714,500000,500000,59673,76403,17,18,2,7,22,1,1,0,0,832,0,0,0,0,9,19,0,0.781029541,3,2,0,2,0,378714,500000,500000,0,1.32,0,500000,1.0,1.33,1995,2019,13,1,24,0
150866,0,0,0,0,0,0,0,0,0,0,0,0,53503,69029,49,1513,0,16,2039,1,1,0,0,0,0,0,0,0,0,0,0,0.7750800390000001,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,1981,2019,-1,1,38,0
87706,1,0,0,0,0,0,0,0,0,0,0,0,48349,72700,31,1366,1,14,1681,1,1,0,0,825,1220,0,0,0,6,6,0,0.6650481429999999,1,1,0,1,0,0,0,0,1220,1.0,0,0,1.0,1.0,1998,2019,13,0,21,0
14640,0,0,0,0,0,0,0,0,0,0,0,0,40054,61106,56,138,2,3,2766,1,1,0,0,0,0,0,0,0,0,0,0,0.655483913,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,1996,2019,-1,0,23,1
110162,3,2,0,90601,70000,70000,0,0,0,0,0,0,33341,72772,60,419,2,18,480,1,1,0,0,621,0,0,1,1,31,52,0,0.458156983,3,1,0,1,0,90601,70000,70000,0,0.77,70000,0,1.0,2.0,1983,2019,6,0,36,0
125059,6,3,0,57084,83000,83000,0,0,0,0,0,0,52303,98697,6,2176,0,4,6,1,1,0,0,738,6850,0,1,0,12,24,0,0.529935054,6,3,0,3,0,57084,83000,83000,6850,1.45,12,0,1.0,1.75,1983,2019,11,0,36,1
178857,0,0,0,0,0,0,0,0,0,0,0,0,32984,45409,49,638,4,16,778,1,1,0,0,0,0,0,0,0,0,0,0,0.7263758290000001,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,1984,2019,-1,0,35,0
130538,1,1,1,1492861,1500000,1500000,0,0,0,0,0,0,54016,64368,11,15,1,1,230,1,1,0,0,17,16304,0,1,1,2,2,1,0.839174745,1,0,0,0,1,1492861,1500000,1500000,16304,1.0,91,0,1.0,2.0,1983,2019,-1,0,36,0
124283,0,0,0,0,0,0,0,0,0,0,0,0,48778,70536,10,1794,0,6,208,1,1,0,0,0,0,0,0,0,0,0,0,0.6915334009999999,0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,1.0,1986,2019,-1,0,33,0
